,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,salary,age_log,fnlwgt_log,capital_loss_log,hours_per_week_bins,native_country
44,2,4,10.0,0,3,4,1,0,0,1,3.828641396489095,11.728609261370583,0.0,4,1
45,3,3,10.0,1,0,0,2,1,0,0,3.4011973816621555,12.286781285267878,0.0,2,1
46,3,3,10.0,1,0,0,1,1,0,0,3.5263605246161616,12.490525760505175,7.62657020629066,3,1
47,3,3,10.0,1,0,0,1,1,0,0,3.970291913552122,12.354143451754574,0.0,3,1
48,3,3,9.0,2,12,1,1,0,0,0,3.367295829986474,11.896274471763684,0.0,3,1
49,2,4,14.0,3,8,4,1,0,0,0,3.8918202981106265,11.275416726651242,5.780743515792329,1,1
50,2,4,14.0,2,0,1,1,0,4865,0,3.4657359027997265,12.349791964542186,0.0,2,1
51,3,2,10.0,1,0,0,1,1,0,1,3.7376696182833684,10.498773802892188,0.0,2,1
52,3,5,10.0,2,0,3,1,1,2176,0,2.995732273553991,10.938840501565046,0.0,1,1
53,3,3,9.0,2,12,4,0,1,0,0,3.1780538303479458,11.621331338814015,0.0,2,1
54,5,0,10.0,1,0,0,1,1,0,0,3.6375861597263857,11.800350004263192,0.0,2,1
55,3,3,10.0,2,10,3,1,0,0,0,3.58351893845611,11.95814960285174,0.0,2,1
56,5,5,10.0,1,0,5,1,0,0,0,3.7376696182833684,12.751067785066262,0.0,3,1
57,3,2,13.0,1,1,0,1,1,0,0,4.060443010546419,12.293538502561436,0.0,2,0
58,5,5,10.0,0,0,1,1,1,0,0,3.828641396489095,12.41196423383656,0.0,3,1
59,1,2,10.0,1,0,0,2,1,0,0,3.5263605246161616,12.161817681775,0.0,2,1
60,5,2,13.0,1,0,0,1,1,0,1,3.970291913552122,12.483420250857895,0.0,2,2
61,0,2,10.0,1,0,0,1,1,0,1,4.189654742026425,12.085886098753676,7.684783943522785,2,1
62,5,6,16.0,1,0,0,1,1,0,0,3.4657359027997265,11.086410351913758,0.0,2,1
63,3,7,6.0,1,7,3,1,0,0,0,3.2188758248682006,12.156619761810642,0.0,2,1
64,3,7,10.0,1,2,0,1,1,0,0,3.8501476017100584,12.006486916834216,0.0,2,1
65,3,5,10.0,1,10,0,1,1,0,1,4.110873864173311,12.121249781089896,0.0,3,1
66,4,5,10.0,1,10,0,1,1,0,1,3.9889840465642745,12.2403001440794,7.589841512182657,2,1
67,3,5,10.0,0,7,1,1,1,0,0,4.248495242049359,11.538690672856255,0.0,5,1
68,3,5,10.0,1,0,2,1,0,0,0,2.995732273553991,11.896185863090201,0.0,2,1
69,2,3,9.0,2,1,3,1,1,0,0,3.1354942159291497,11.769364517682078,0.0,2,1
70,3,4,10.0,3,0,1,1,0,0,1,4.110873864173311,11.510763128805547,0.0,2,1
71,3,3,9.0,1,12,5,1,0,5178,1,3.4339872044851463,11.723162078974758,0.0,2,1
72,3,1,11.0,1,6,0,1,1,2407,0,3.7376696182833684,12.683501762477649,0.0,2,1
73,3,5,10.0,1,0,0,1,1,0,1,3.4339872044851463,12.84739481141702,0.0,2,1
74,3,3,10.0,2,7,1,0,0,0,0,3.332204510175204,10.543576724621428,0.0,3,1
75,5,1,10.0,0,0,4,1,0,0,0,3.6375861597263857,11.093097706026228,0.0,2,1
76,3,3,9.0,1,0,0,1,1,0,1,3.4339872044851463,12.180247016318816,0.0,3,1
77,3,7,7.0,2,0,2,1,1,0,0,2.9444389791664403,12.035290255730406,0.0,2,1
78,3,2,13.0,1,0,0,1,1,0,0,3.9318256327243257,12.552297173594065,0.0,2,2
79,2,4,14.0,1,8,5,2,0,0,1,3.713572066704308,12.118464727008657,0.0,2,2
81,5,1,10.0,1,0,5,1,0,0,0,3.2188758248682006,11.643497482962099,0.0,3,1
82,3,7,6.0,2,0,3,1,1,0,0,2.833213344056216,11.872911919799362,0.0,0,1
83,3,4,10.0,1,8,0,1,1,0,0,3.4965075614664802,12.215963568678145,0.0,3,1
84,3,3,10.0,1,0,0,1,1,0,1,3.367295829986474,12.4035290899084,0.0,3,1
85,3,5,10.0,2,1,4,1,0,0,0,3.4965075614664802,12.453174881639042,0.0,2,2
86,3,3,10.0,2,0,1,1,1,0,0,3.295836866004329,11.918557225857715,0.0,2,2
87,3,7,10.0,2,0,1,1,1,0,0,3.4011973816621555,12.433686191515836,0.0,2,1
88,3,3,10.0,1,2,0,1,1,0,0,3.332204510175204,11.025734984301671,0.0,3,1
89,0,7,8.0,2,0,1,1,1,0,0,3.091042453358316,12.45281162237926,0.0,3,1
90,3,7,10.0,2,0,3,1,1,0,0,2.8903717578961645,12.046748606928917,0.0,1,1
91,3,5,10.0,1,0,0,1,1,0,1,3.7612001156935624,11.67127873012338,0.0,3,1
92,3,3,9.0,1,6,0,1,1,0,0,3.7612001156935624,12.421562985590603,0.0,2,1
93,3,5,10.0,3,0,2,0,0,0,0,3.58351893845611,12.153062088016286,0.0,2,1
94,3,3,10.0,1,4,0,1,1,0,0,3.6635616461296463,12.504156679507902,0.0,3,1
95,3,5,10.0,1,0,0,1,1,0,1,3.871201010907891,10.505149727973846,0.0,2,1
96,3,2,13.0,2,3,1,1,1,0,0,3.4965075614664802,10.825283105044727,0.0,2,1
98,2,1,10.0,1,0,5,1,0,0,0,3.6635616461296463,10.685149146626811,0.0,2,1
99,3,7,10.0,1,2,0,1,1,0,0,3.332204510175204,11.94385687003765,0.0,2,1
100,3,3,10.0,1,3,0,1,1,0,0,3.828641396489095,12.912405018143357,0.0,2,1
101,3,5,10.0,2,1,3,2,0,0,0,2.995732273553991,11.800747527622924,0.0,2,2
102,3,3,10.0,2,0,3,1,0,0,0,2.9444389791664403,11.9093094643422,0.0,2,1
103,3,2,10.0,3,0,3,2,0,0,0,3.912023005428146,12.054388920266703,0.0,2,1
104,3,3,9.0,1,0,0,1,1,0,0,3.295836866004329,12.224776630323946,0.0,3,1
105,4,3,9.0,1,0,0,1,1,0,1,4.110873864173311,11.908858621359135,0.0,3,1
106,4,2,13.0,2,8,1,1,0,0,1,3.5263605246161616,11.041256449738759,0.0,4,1
107,3,5,10.0,3,7,4,1,0,0,0,3.4339872044851463,12.907852457475377,0.0,3,0
108,3,7,10.0,2,0,3,1,0,0,0,2.833213344056216,11.795363813098955,0.0,0,1
109,2,2,13.0,2,0,2,1,0,0,0,3.1354942159291497,12.445589421042325,0.0,3,1
110,3,7,10.0,1,0,0,1,1,3908,0,3.044522437723423,12.00682870954027,0.0,2,1
111,5,5,10.0,1,0,0,1,1,0,0,3.912023005428146,11.734411643600785,0.0,3,1
112,3,3,10.0,1,0,0,1,1,0,0,3.4657359027997265,11.777625461030086,7.303843225277704,3,1
113,3,4,14.0,1,8,0,1,1,0,0,3.6109179126442243,11.673180333414935,0.0,3,1
114,5,7,7.0,1,3,0,1,1,0,0,3.8918202981106265,12.427554817517716,0.0,4,1
115,4,6,10.0,1,8,0,1,1,99999,1,4.02535169073515,11.49697899314054,0.0,2,1
116,3,0,12.0,0,0,1,1,1,0,1,3.5263605246161616,12.249060293329611,0.0,3,1
117,3,1,10.0,0,0,4,1,0,0,0,3.970291913552122,11.866472522167614,0.0,2,1
118,0,5,10.0,1,0,0,1,1,3432,0,4.2626798770413155,12.430267643880162,0.0,2,1
119,3,5,10.0,0,0,3,1,0,0,0,3.58351893845611,12.205807610411469,0.0,2,1
120,3,7,10.0,2,7,3,1,0,0,0,3.4011973816621555,12.962234530558568,0.0,1,1
121,3,5,10.0,0,10,1,1,1,0,0,3.828641396489095,10.998208948154403,0.0,3,1
122,3,0,12.0,2,7,1,2,0,0,0,3.295836866004329,11.727907804003731,0.0,2,2
123,3,2,10.0,0,3,1,1,0,0,1,3.4339872044851463,12.037097626143616,0.0,3,1
124,3,6,15.0,1,8,5,1,0,3103,1,3.9512437185814275,12.345760672130151,0.0,2,1
125,0,3,9.0,2,0,3,1,1,0,0,3.4011973816621555,12.606783134998661,0.0,2,1
126,2,4,10.0,1,8,0,1,1,7298,1,3.912023005428146,11.885633194173538,0.0,2,1
127,3,6,16.0,1,0,0,1,1,0,1,3.8501476017100584,11.647971959248359,0.0,3,1
128,3,5,10.0,2,0,3,0,1,0,0,2.8903717578961645,12.117427206916025,0.0,2,1
129,3,5,10.0,2,0,3,1,1,0,0,2.995732273553991,11.849404844423075,0.0,2,1
130,3,3,9.0,2,0,1,1,1,0,0,3.4011973816621555,11.55264605316516,7.462789157412447,2,1
131,3,2,13.0,1,0,0,1,1,0,0,3.6635616461296463,12.505147077918163,0.0,4,1
132,3,2,13.0,3,0,4,0,0,0,0,3.828641396489095,11.666804679382656,0.0,2,1
133,3,3,10.0,3,7,4,0,0,0,0,3.4339872044851463,12.286855079538709,0.0,2,1
134,6,4,14.0,0,0,1,1,1,0,0,3.7376696182833684,12.299936325111847,0.0,3,1
135,2,4,10.0,1,0,0,1,1,0,1,3.8918202981106265,12.136395611485957,0.0,2,1
136,5,1,11.0,1,0,0,1,1,0,0,3.8066624897703196,12.22785859885203,0.0,1,1
137,3,2,10.0,2,3,1,1,1,0,1,3.4011973816621555,11.998876259545412,0.0,4,1
138,3,5,10.0,2,0,1,1,1,0,0,2.9444389791664403,12.548612153266669,0.0,2,1
139,5,3,10.0,1,0,0,1,1,0,0,3.6635616461296463,10.445172103888101,0.0,3,1
140,3,3,10.0,0,0,1,0,1,0,0,3.7612001156935624,11.873170030223225,0.0,2,1
141,3,4,10.0,1,3,5,1,0,0,1,3.4965075614664802,12.108305449732674,0.0,3,1
142,3,7,10.0,1,2,0,1,1,0,0,3.4339872044851463,12.85413877464948,0.0,2,1
143,3,5,10.0,2,10,3,1,0,0,0,3.091042453358316,12.126791314602453,0.0,2,1
144,3,3,10.0,1,5,0,1,1,0,0,3.7612001156935624,12.390492000406274,0.0,2,1
145,3,2,10.0,0,0,1,1,0,0,0,3.8501476017100584,11.995042924599476,0.0,1,2
146,3,5,10.0,0,11,1,1,1,0,0,3.367295829986474,12.021007328065156,0.0,3,1
147,3,3,10.0,3,0,4,0,0,0,0,3.784189633918261,12.069628443363301,0.0,2,1
148,3,2,10.0,2,3,4,2,1,0,0,3.258096538021482,11.716478366519434,0.0,4,2
149,3,0,12.0,2,0,4,1,0,0,0,3.258096538021482,11.980444760813665,0.0,2,1
150,0,5,10.0,0,0,3,1,0,0,0,3.332204510175204,11.916027783889206,0.0,1,2
151,2,2,10.0,1,0,0,1,1,0,0,3.6375861597263857,12.259570757520057,7.462214939768189,2,1
152,3,3,10.0,1,0,0,1,1,0,0,3.6888794541139363,11.654086428259093,0.0,2,1
153,2,3,10.0,1,0,5,1,0,0,0,3.6888794541139363,12.0983760700748,0.0,2,1
154,3,3,10.0,1,3,0,1,1,0,0,3.4657359027997265,11.767722710086232,0.0,2,1
155,3,3,10.0,0,7,1,1,0,0,0,3.9318256327243257,12.062727541291078,0.0,2,1
156,3,3,9.0,2,6,3,1,1,0,0,3.6109179126442243,11.374536579520827,0.0,2,1
157,6,6,15.0,2,0,1,2,1,2463,0,3.258096538021482,12.222334698658845,0.0,3,2
158,3,5,10.0,2,10,3,1,0,0,0,2.8903717578961645,12.167378593666484,0.0,1,1
159,3,3,9.0,2,3,1,0,0,0,0,3.295836866004329,11.982285136919964,0.0,2,1
160,3,0,12.0,2,0,3,1,0,0,0,3.044522437723423,11.729986555568079,0.0,2,1
161,5,2,13.0,1,0,0,0,1,0,1,3.5263605246161616,12.367170565872502,7.543273346705446,3,1
162,3,7,10.0,1,0,0,1,1,0,0,3.4011973816621555,11.548697932058356,0.0,2,1
163,3,5,10.0,2,0,3,1,0,0,0,2.9444389791664403,12.332321963088795,0.0,1,1
164,3,5,10.0,2,1,3,1,1,0,0,3.044522437723423,11.996758032152405,0.0,2,1
165,2,3,9.0,1,3,5,1,0,0,1,3.970291913552122,11.612861293582828,0.0,3,1
166,3,2,10.0,0,0,1,1,0,0,0,4.0943445622221,12.066580666711575,0.0,2,1
167,2,7,10.0,2,0,3,1,1,0,0,2.833213344056216,12.075889925551996,0.0,2,1
168,3,2,10.0,1,0,0,1,1,0,1,3.6888794541139363,12.32233452481462,0.0,3,1
169,1,3,10.0,2,0,3,0,1,0,0,3.8501476017100584,10.92191962407671,0.0,2,1
170,3,3,10.0,1,2,0,1,1,0,1,3.7612001156935624,11.219641062063408,0.0,3,1
171,3,1,10.0,1,10,0,1,1,0,1,3.7612001156935624,12.740687058927445,0.0,2,1
172,5,0,10.0,1,0,1,1,1,0,1,3.4339872044851463,12.82030648044714,0.0,3,1
173,3,2,13.0,1,0,0,1,1,0,1,3.6888794541139363,11.61788890180269,0.0,5,1
174,3,1,11.0,1,3,0,1,1,0,1,3.58351893845611,12.517021924920302,0.0,4,1
175,2,0,12.0,2,0,1,1,0,0,0,3.295836866004329,12.325148178884762,0.0,2,1
176,3,5,10.0,2,0,3,1,0,4650,0,3.1354942159291497,12.400454516816495,0.0,2,1
177,3,2,13.0,2,10,1,2,0,0,0,3.58351893845611,12.602614728259493,0.0,3,2
178,6,5,10.0,1,0,0,1,1,0,0,3.9512437185814275,11.554834868047438,0.0,3,1
179,3,2,13.0,1,8,0,1,1,0,1,3.6109179126442243,11.687701962591143,0.0,3,1
180,3,0,10.0,0,3,1,1,1,0,1,3.6888794541139363,12.7853061697209,0.0,2,1
181,4,3,10.0,1,0,0,1,1,0,0,3.8918202981106265,12.213534734761303,0.0,2,1
183,3,3,10.0,1,0,0,1,1,3908,0,3.4965075614664802,10.927717472432848,0.0,2,1
184,3,2,10.0,0,0,1,1,1,8614,1,3.8066624897703196,12.736297874213264,0.0,3,1
185,3,5,10.0,2,5,1,1,1,0,0,2.995732273553991,12.300632543943793,0.0,2,1
186,3,3,10.0,3,0,4,1,0,0,0,4.219507705176107,12.317104051252777,0.0,0,2
187,3,7,6.0,2,7,4,1,0,0,0,3.332204510175204,11.103964252605355,0.0,0,1
188,3,5,10.0,1,0,0,0,1,0,0,3.4011973816621555,10.581165702192143,0.0,6,1
189,3,3,10.0,1,0,0,1,1,0,0,3.258096538021482,11.918803821013036,0.0,3,1
190,3,7,10.0,2,0,3,1,1,0,0,2.833213344056216,12.499771580306785,0.0,0,1
191,4,2,10.0,1,3,0,1,1,99999,1,3.784189633918261,11.697552694988952,0.0,3,1
192,2,2,10.0,1,0,0,1,1,0,0,4.204692619390966,12.226478032306824,0.0,0,1
193,3,3,10.0,0,6,1,1,1,0,0,3.6109179126442243,12.058564024974793,0.0,2,1
194,3,3,10.0,1,5,0,1,1,0,1,4.02535169073515,12.114286249899466,0.0,2,1
195,3,2,13.0,1,6,0,1,1,0,0,3.091042453358316,12.444297894144338,0.0,3,2
196,3,2,10.0,1,3,0,1,1,0,1,3.332204510175204,12.157538698534317,0.0,3,1
197,3,1,11.0,1,0,0,1,1,0,1,3.6375861597263857,12.17838279570851,0.0,3,1
199,0,7,10.0,2,0,2,1,1,0,0,2.995732273553991,12.285636777166003,0.0,2,1
200,3,5,10.0,2,0,4,1,1,0,0,3.1780538303479458,12.314267640254025,0.0,3,1
201,6,4,14.0,2,0,1,1,1,0,0,3.7376696182833684,10.577426429154777,0.0,4,1
203,3,2,13.0,2,10,3,1,0,0,0,3.1354942159291497,11.782227148265521,0.0,2,1
204,0,3,10.0,1,0,0,1,1,0,0,4.0943445622221,12.067230030444156,0.0,2,1
205,3,7,10.0,1,12,0,1,1,0,0,4.0943445622221,11.385716898229186,0.0,2,1
206,3,3,10.0,0,8,4,1,0,0,0,3.5553480614894135,12.158603608288125,0.0,2,1
207,3,2,13.0,0,10,1,1,1,0,1,3.8066624897703196,12.031945423284379,0.0,4,1
208,3,5,10.0,2,6,3,1,1,0,0,2.995732273553991,12.250716128851844,0.0,2,1
209,3,1,11.0,2,0,1,1,0,0,0,3.713572066704308,12.128419164713014,0.0,2,2
210,3,3,9.0,1,0,0,1,1,0,0,3.6375861597263857,12.096893737972803,0.0,2,1
211,3,3,9.0,2,5,1,1,1,0,0,3.4965075614664802,11.884137235395338,0.0,2,1
212,3,3,9.0,1,0,0,1,1,0,0,3.4657359027997265,12.220724776862488,0.0,2,1
213,3,3,9.0,2,0,1,1,1,0,0,3.5553480614894135,11.94736668131491,0.0,2,1
214,3,3,9.0,1,12,0,1,1,0,0,3.4011973816621555,12.171988318531412,0.0,3,1
215,3,7,10.0,2,0,2,1,1,0,0,3.091042453358316,12.922032624155277,0.0,2,1
216,3,4,14.0,1,3,0,1,1,0,1,3.8918202981106265,12.172340045098668,0.0,4,1
217,3,2,10.0,1,3,0,1,1,0,1,3.4339872044851463,12.374122003974804,0.0,3,1
218,3,3,9.0,2,0,3,0,0,0,0,3.1354942159291497,12.119026722489291,7.374629015218945,1,1
219,3,1,10.0,1,0,0,1,1,0,0,3.6635616461296463,12.16265353141253,0.0,2,1
220,3,3,9.0,1,0,0,1,1,0,0,3.5553480614894135,12.259352714972458,0.0,3,1
221,3,0,12.0,0,0,1,1,0,0,0,3.367295829986474,12.230091860707685,0.0,2,1
222,4,2,13.0,1,0,0,1,1,0,0,3.4657359027997265,12.253390297514052,0.0,3,2
223,3,7,5.0,1,0,0,1,1,0,0,3.6109179126442243,12.225031779931319,0.0,4,1
224,3,3,9.0,1,12,0,1,1,0,1,3.6635616461296463,12.373242492723369,0.0,3,1
225,3,3,9.0,3,0,1,1,0,0,0,3.970291913552122,12.46884451922143,0.0,2,1
226,3,2,13.0,1,0,0,1,1,0,1,3.6109179126442243,12.207940899256855,7.551186867296149,2,1
227,1,0,12.0,1,0,0,1,1,0,0,3.58351893845611,12.384528406421168,0.0,2,1
228,6,1,10.0,1,9,0,1,1,0,0,3.4339872044851463,12.4799093111599,0.0,2,1
229,4,5,10.0,1,0,0,1,1,0,1,3.871201010907891,12.269704505774948,0.0,2,1
230,3,3,10.0,0,7,1,1,0,0,0,4.04305126783455,10.488046792679175,0.0,2,1
231,5,5,10.0,1,0,0,1,1,0,0,3.4657359027997265,11.950857763215895,0.0,2,1
232,3,3,9.0,1,0,0,1,1,0,0,3.4339872044851463,10.818237097391455,0.0,2,1
234,3,3,10.0,1,5,0,1,1,0,0,3.295836866004329,11.526473277515496,0.0,2,0
235,3,3,10.0,0,0,1,1,0,0,0,3.5553480614894135,12.84781863114467,0.0,2,1
236,5,3,9.0,1,12,0,1,1,0,0,3.713572066704308,11.868674980832461,0.0,3,1
237,3,7,10.0,2,0,3,1,0,0,0,2.833213344056216,10.561292488948782,0.0,1,1
238,3,3,9.0,0,6,4,1,0,0,0,3.7612001156935624,12.106335179742368,0.0,3,1
239,3,3,9.0,2,0,4,0,0,0,0,3.6375861597263857,11.892580336178575,0.0,2,1
240,3,7,7.0,0,0,1,1,1,0,0,3.5553480614894135,11.659645750521209,0.0,2,1
241,6,7,7.0,3,1,4,2,0,0,0,3.332204510175204,11.78004762345665,0.0,2,2
242,3,2,13.0,2,0,1,1,1,0,0,3.091042453358316,11.735836989368275,0.0,2,1
243,2,5,10.0,1,0,0,1,1,0,0,4.110873864173311,12.027824779977447,0.0,2,1
244,3,7,8.0,2,0,1,1,0,0,0,2.8903717578961645,11.659956574985596,0.0,2,1
245,3,3,9.0,2,2,1,0,1,0,0,3.1780538303479458,12.249524778202698,0.0,2,1
246,6,6,10.0,2,0,1,1,0,0,1,3.828641396489095,11.694446701593414,7.355641102974254,3,1
247,3,3,9.0,3,0,1,1,0,0,0,3.8501476017100584,12.251619460486143,0.0,2,1
248,3,6,10.0,1,8,0,1,1,0,0,3.6888794541139363,11.781118860838149,0.0,3,1
249,0,7,10.0,2,0,3,1,1,0,0,2.833213344056216,12.622533742221322,0.0,2,1
250,3,6,15.0,2,3,1,1,1,27828,1,3.58351893845611,12.125166231636449,0.0,3,1
251,3,4,14.0,1,3,0,1,1,7688,1,3.7612001156935624,12.460904768351384,0.0,3,1
252,3,5,10.0,2,7,4,1,0,0,0,3.044522437723423,12.533244625668367,0.0,2,1
253,3,7,7.0,2,10,1,1,0,0,0,3.091042453358316,11.707430830145817,0.0,2,1
254,2,1,11.0,1,0,5,1,0,7688,1,3.332204510175204,12.342450607828233,0.0,2,1
255,1,5,10.0,1,0,0,1,1,0,1,4.07753744390572,12.591236401999845,0.0,2,1
256,4,2,13.0,1,0,0,1,1,0,1,3.9889840465642745,11.593906194102507,0.0,3,1
257,3,3,10.0,2,0,3,1,1,0,0,2.995732273553991,12.332608375467293,0.0,2,1
258,3,5,10.0,3,10,3,2,1,2597,0,3.258096538021482,11.92867748094653,0.0,3,1
259,4,3,10.0,2,10,1,1,1,0,0,3.295836866004329,12.174932794088779,0.0,3,1
260,2,3,10.0,3,0,4,1,1,0,0,3.9318256327243257,12.174169096517165,0.0,2,1
261,3,5,10.0,0,0,4,0,0,0,0,3.4339872044851463,12.840992017121561,0.0,2,2
262,3,5,10.0,2,0,3,1,1,0,0,3.828641396489095,12.293758378424075,0.0,2,1
263,3,5,10.0,0,0,4,1,0,0,0,3.828641396489095,11.80272529339301,0.0,2,1
264,3,3,9.0,1,12,0,2,1,0,0,3.6888794541139363,11.830804485519732,0.0,4,2
266,3,3,10.0,0,0,4,1,0,0,0,3.9512437185814275,12.086528685355873,0.0,1,1
267,3,5,10.0,1,5,0,1,1,0,0,3.5553480614894135,11.72485436651684,0.0,2,1
269,3,2,10.0,2,10,2,1,0,0,0,3.332204510175204,12.180754837545884,0.0,3,1
270,3,3,10.0,1,0,0,1,1,0,0,3.58351893845611,11.590839755323623,0.0,3,1
271,6,5,10.0,3,0,4,2,0,0,0,3.912023005428146,11.272750193847425,0.0,2,1
272,3,2,10.0,3,0,3,2,0,0,0,3.8066624897703196,11.263527770010382,0.0,2,2
273,6,4,14.0,1,8,0,1,1,0,0,3.367295829986474,12.228401491013237,0.0,0,1
274,3,3,9.0,1,2,0,1,1,0,0,3.4657359027997265,12.762907427192733,0.0,2,1
275,3,3,10.0,0,0,4,0,1,0,1,4.007333185232471,12.052146107247989,0.0,3,1
276,5,1,11.0,1,4,0,1,1,0,1,3.58351893845611,11.899941429409862,0.0,4,1
277,3,5,10.0,0,0,3,1,0,0,0,3.091042453358316,12.157318230721724,0.0,3,2
278,0,3,10.0,0,0,3,1,1,0,0,3.4339872044851463,12.332189745087563,0.0,5,1
279,3,3,10.0,2,0,3,1,1,0,0,2.995732273553991,11.956167937412422,0.0,2,1
281,2,3,9.0,1,3,0,1,1,3432,0,4.189654742026425,12.096731997421026,0.0,1,1
282,1,5,10.0,3,1,3,1,0,0,0,3.367295829986474,11.584417876668855,0.0,2,1
283,3,2,10.0,1,3,0,1,1,0,0,3.5263605246161616,12.410555157688435,0.0,3,1
284,3,3,9.0,1,7,0,1,1,0,0,4.127134385045092,12.2593053081269,0.0,1,1
285,5,5,10.0,1,0,0,1,1,0,0,3.912023005428146,12.747664109764173,0.0,2,1
286,3,3,10.0,1,2,0,1,1,0,0,3.8918202981106265,11.967618736550218,0.0,2,1
287,3,2,13.0,2,0,1,1,1,0,0,3.8501476017100584,11.913960775999007,0.0,4,1
288,5,5,10.0,0,2,1,1,1,0,0,3.713572066704308,12.534595512325492,7.601901959875166,3,1
290,3,7,10.0,3,7,1,1,0,0,0,4.060443010546419,12.17338415090664,0.0,2,1
291,0,7,10.0,1,0,0,1,1,0,0,4.290459441148391,11.413734765679811,0.0,0,1
292,3,2,10.0,1,0,5,1,0,0,1,3.713572066704308,10.658740610253117,0.0,1,1
293,3,5,10.0,2,0,1,0,1,0,0,3.091042453358316,11.940302086221925,0.0,1,1
294,3,2,13.0,1,0,0,1,1,0,0,3.828641396489095,10.490412735357983,0.0,3,1
295,3,1,11.0,1,5,0,1,1,0,0,3.4011973816621555,11.84947626993344,0.0,3,1
